impact,id,description,help,helpUrl,tags,html,target,failureSummary
moderate,heading-order,"Ensure the order of headings is semantically correct","Heading levels should only increase by one","https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI","cat.semantics;best-practice","<h5>Research Computing Q&amp;A Site to be Examined at PEARC20</h5>",".js-view-dom-id-bf59cc5d3b042d2edd7c2f05a1bcd471b78a4363d4ef1dc3f6f6ad55805514a6 > .views-row:nth-child(1) > .views-field.views-field-title > .field-content > .card.mb-3 > .card-body > h5","Fix any of the following:\n  Heading order invalid"
moderate,heading-order,"Ensure the order of headings is semantically correct","Heading levels should only increase by one","https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI","cat.semantics;best-practice","<h5>Tools to Expand High Performance Research Computing to be Explored at Regional Conference </h5>",".js-view-dom-id-89c84f1e96250ca3dc7bf37865ee4ac2b25b29e300e948d9286d95f193a2fafa > .views-row:nth-child(1) > .views-field.views-field-title > .field-content > .card.mb-3 > .card-body > h5","Fix any of the following:\n  Heading order invalid"
