category,impact,id,description,help,helpUrl,tags,html,target,failureSummary
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"Dhruva Chakravorty\" class=\"profile-photo rounded-custom\">","img[alt=\"Dhruva Chakravorty\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"https://ondemand.ddev.site/sites/default/files/pictures/julie-ma_0.jpg\" alt=\"Julie Ma\" class=\"profile-photo rounded-custom\">",".committee-photo > .profile-photo.rounded-custom[alt=\"Julie Ma\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"Dori Sajdak\" class=\"profile-photo rounded-custom\">","img[alt=\"Dori Sajdak\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"https://ondemand.ddev.site/sites/default/files/pictures/chalker_alan_2022_600.jpg\" alt=\"Alan Chalker\" class=\"profile-photo rounded-custom\">",".committee-photo > .profile-photo.rounded-custom[alt=\"Alan Chalker\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"David Carlson\" class=\"profile-photo rounded-custom\">","img[alt=\"David Carlson\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"https://ondemand.ddev.site/sites/default/files/pictures/me_and_groucho.jpeg\" alt=\"Travis Ravert\" class=\"profile-photo rounded-custom\">",".committee-photo > .profile-photo.rounded-custom[alt=\"Travis Ravert\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"https://ondemand.ddev.site/sites/default/files/pictures/20230503anderson4-4K_cropped.jpg\" alt=\"Sean Anderson\" class=\"profile-photo rounded-custom\">",".committee-photo > .profile-photo.rounded-custom[alt=\"Sean Anderson\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"https://ondemand.ddev.site/sites/default/files/pictures/Moffat13csmall.jpg\" alt=\"Emily Moffat Sadeghi\" class=\"profile-photo rounded-custom\">",".committee-photo > .profile-photo.rounded-custom[alt=\"Emily Moffat Sadeghi\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"Amanda Black\" class=\"profile-photo rounded-custom\">",".committee-photo > .profile-photo.rounded-custom[alt=\"Amanda Black\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"Tom Krobatsch\" class=\"profile-photo rounded-custom\">",".committee-photo > .profile-photo.rounded-custom[alt=\"Tom Krobatsch\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"Arsalan Akhter\" class=\"profile-photo rounded-custom\">",".committee-photo > .profile-photo.rounded-custom[alt=\"Arsalan Akhter\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"Huston Rogers\" class=\"profile-photo rounded-custom\">",".committee-photo > .profile-photo.rounded-custom[alt=\"Huston Rogers\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"Sarah Duncan\" class=\"profile-photo rounded-custom\">",".committee-photo > .profile-photo.rounded-custom[alt=\"Sarah Duncan\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"Em Dragowsky\" class=\"profile-photo rounded-custom\">","img[alt=\"Em Dragowsky\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"https://ondemand.ddev.site/sites/default/files/pictures/20230503anderson4-4K_cropped.jpg\" alt=\"Sean Anderson\" class=\"profile-photo rounded-custom\">",".contributor-item.mr-3.mb-3:nth-child(1) > .contributor-link[href=\"/community-persona/3465\"] > .contributor-photo > .profile-photo.rounded-custom[alt=\"Sean Anderson\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"Brandon Biggs\" class=\"profile-photo rounded-custom\">",".contributor-item.mr-3.mb-3:nth-child(2) > .contributor-link[href=\"/community-persona/43373\"] > .contributor-photo > .profile-photo.rounded-custom[alt=\"Brandon Biggs\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"Xavier PILLONS\" class=\"profile-photo rounded-custom\">",".contributor-photo > .profile-photo.rounded-custom[alt=\"Xavier PILLONS\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"William Horka\" class=\"profile-photo rounded-custom\">",".tips-tricks-block > .contributors-list.flex-wrap.list-none > .contributor-item.mr-3.mb-3:nth-child(4) > .contributor-link[href=\"/community-persona/48134\"] > .contributor-photo > .profile-photo.rounded-custom[alt=\"William Horka\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
