category,impact,id,description,help,helpUrl,tags,html,target,failureSummary
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<h3 class=\"text-teal font-bold\">Available Software</h3>",".text-teal.font-bold","Fix any of the following:\n  Element has insufficient color contrast of 2.2 (foreground color: #48c0b9, background color: #ffffff, font size: 15.0pt (20px), font weight: bold). Expected contrast ratio of 3:1"
error,serious,link-name,"Ensure links have discernible text","Links must have discernible text","https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI","cat.name-role-value;wcag2a;wcag244;wcag412;section508;section508.22.a;TTv5;TT6.a;EN-301-549;EN-9.2.4.4;EN-9.4.1.2;ACT","<a href=\"https://docs.jetstream-cloud.org/ui/\" class=\"no-underline\">\n            <i class=\"bi bi-book text-md-teal\"></i>\n          </a>",".gap-2 > .no-underline","Fix all of the following:\n  Element is in tab order and does not have accessible text\n\nFix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute"
