category,impact,id,description,help,helpUrl,tags,html,target,failureSummary
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"https://nsf.gov\" target=\"_blank\">U.S. National Science Foundation</a>","a[href$=\"nsf.gov\"]","Fix any of the following:\n  Element has insufficient color contrast of 4 (foreground color: #0489ba, background color: #222222, font size: 9.8pt (13px), font weight: normal). Expected contrast ratio of 4.5:1"
warning,moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<b>Warning</b>","b:nth-child(2)","Fix any of the following:\n  Some page content is not contained by landmarks"
warning,moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<b>/var/www/html/web/modules/contrib/multiple_registration/multiple_registration.module</b>","b:nth-child(3)","Fix any of the following:\n  Some page content is not contained by landmarks"
warning,moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<b>203</b>","b:nth-child(4)","Fix any of the following:\n  Some page content is not contained by landmarks"
