impact,id,description,help,helpUrl,tags,html,target,failureSummary
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<span>Ask me about ACCESS! 😊</span>","#qa-bot,.rcb-chat-tooltip > span:nth-child(1)","Fix any of the following:\n  Element has insufficient color contrast of 1.63 (foreground color: #ffffff, background color: #b0d0d5, font size: 15.0pt (20px), font weight: normal). Expected contrast ratio of 4.5:1"
moderate,heading-order,"Ensure the order of headings is semantically correct","Heading levels should only increase by one","https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI","cat.semantics;best-practice","<h3 class=\"mt-0 ms-2\">\n      Do you have an idea<br>for a new Affinity Group?\n    </h3>",".mt-0","Fix any of the following:\n  Heading order invalid"
