impact,id,description,help,helpUrl,tags,html,target,failureSummary
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a class=\"btn btn-primary\" href=\"https://ccmnet.ddev.site/node/add/mentorship_engagement\">Create a Mentorship</a>",".text-right > .btn.btn-primary","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<div class=\"text-uppercase ml-2\">\n      Recruiting: Mentor    </div>","div:nth-child(2) > .views-field.views-field-field-me-state > .field-content > .position-relative.rounded-bottom-left.mb-3 > .bg-teal.px-3.py-2 > .ml-2.text-uppercase","Fix any of the following:\n  Element has insufficient color contrast of 3.07 (foreground color: #ffffff, background color: #28a588, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a class=\"text-white corner-triangle text-uppercase bg-teal\" href=\"/node/10913\">More</a>","a[href=\"/node/10913\"]","Fix any of the following:\n  Element has insufficient color contrast of 3.07 (foreground color: #ffffff, background color: #28a588, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<div class=\"text-uppercase ml-2\">\n      In Progress: Mentor    </div>","div:nth-child(13) > .views-field.views-field-field-me-state > .field-content > .position-relative.rounded-bottom-left.mb-3 > .bg-teal.px-3.py-2 > .ml-2.text-uppercase","Fix any of the following:\n  Element has insufficient color contrast of 3.07 (foreground color: #ffffff, background color: #28a588, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a class=\"text-white corner-triangle text-uppercase bg-teal\" href=\"/node/7090\">More</a>","a[href=\"/node/7090\"]","Fix any of the following:\n  Element has insufficient color contrast of 3.07 (foreground color: #ffffff, background color: #28a588, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"#\" class=\"facets-soft-limit-link\">Show more</a>","#block-nect-metags > .mb-2.mb-lg-4.facets-widget-checkbox > .facets-soft-limit-link[href=\"#\"]","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #0489ba, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
